"","from","to","n"
"1",1,2,5
"2",1,3,5
"3",2,1,5
"4",3,1,5
"5",4,1,5
"6",5,1,4
"7",6,1,4
"8",7,1,5
"9",8,71,4
"10",9,71,8
"11",10,71,4
"12",11,71,4
"13",1,4,5
"14",12,4,6
"15",13,4,6
"16",14,4,4
"17",15,4,4
"18",16,4,7
"19",17,4,4
"20",18,4,5
"21",19,4,11
"22",20,4,5
"23",21,4,4
"24",22,4,4
"25",23,4,5
"26",24,4,7
"27",25,4,4
"28",26,4,4
"29",27,4,4
"30",28,4,8
"31",29,4,5
"32",30,4,4
"33",4,12,6
"34",14,12,12
"35",18,12,4
"36",19,12,11
"37",21,12,5
"38",31,12,5
"39",28,12,4
"40",29,12,4
"41",32,12,4
"42",4,13,6
"43",26,13,4
"44",27,13,4
"45",4,14,4
"46",12,14,12
"47",19,14,7
"48",21,14,4
"49",31,14,4
"50",33,68,4
"51",4,15,4
"52",17,34,4
"53",20,34,4
"54",28,34,7
"55",4,16,7
"56",24,16,4
"57",4,17,4
"58",34,17,4
"59",35,17,5
"60",28,17,10
"61",36,17,7
"62",37,17,7
"63",38,17,4
"64",39,17,4
"65",40,17,4
"66",41,17,4
"67",4,18,5
"68",12,18,4
"69",20,18,6
"70",28,18,10
"71",29,18,4
"72",4,19,11
"73",12,19,11
"74",14,19,7
"75",21,19,7
"76",22,19,5
"77",42,19,4
"78",28,19,7
"79",43,19,8
"80",44,19,4
"81",29,19,4
"82",45,19,4
"83",46,19,4
"84",47,19,4
"85",4,20,5
"86",34,20,4
"87",18,20,6
"88",5,20,7
"89",8,20,13
"90",9,20,4
"91",28,20,13
"92",48,20,6
"93",49,20,5
"94",50,20,4
"95",51,20,5
"96",4,21,4
"97",12,21,5
"98",14,21,4
"99",19,21,7
"100",12,31,5
"101",14,31,4
"102",4,22,4
"103",19,22,5
"104",43,22,5
"105",52,22,4
"106",19,42,4
"107",4,23,5
"108",1,5,4
"109",20,5,7
"110",8,5,4
"111",53,5,10
"112",54,5,10
"113",28,5,10
"114",49,5,5
"115",55,5,10
"116",56,5,10
"117",57,5,10
"118",58,5,10
"119",59,5,10
"120",60,5,10
"121",4,24,7
"122",16,24,4
"123",30,24,5
"124",61,24,4
"125",17,35,5
"126",28,35,5
"127",36,35,6
"128",38,35,4
"129",40,35,4
"130",62,35,5
"131",63,96,4
"132",64,96,4
"133",65,96,4
"134",66,70,5
"135",67,70,5
"136",68,33,4
"137",54,33,4
"138",48,33,4
"139",63,33,4
"140",6,33,5
"141",49,33,5
"142",69,33,4
"143",62,33,4
"144",9,80,4
"145",70,66,5
"146",67,66,4
"147",62,120,4
"148",71,8,4
"149",20,8,13
"150",5,8,4
"151",67,8,5
"152",72,8,7
"153",54,8,7
"154",73,8,6
"155",74,8,5
"156",75,8,5
