"name","community","published_date","researcher","available_at","research_report_title","keyword_1","keyword_2","keyword_3","Id"
"RR 113","8",1998,"Opus International Consultants Ltd","www.nzta.govt.nz/resources/research/reports/113","Lead Based Paint Management on Roading Structures: Section I Results of Surveys","Lead paint removal","risk assessment","maintenance painting",1
"RR 114","8",1998,"Opus International Consultants Limited","www.nzta.govt.nz/resources/research/reports/114","Lead Based Paint Management on Roading Structures: Section II Code of Conduct for Contractors","Lead paint removal","risk assessment","maintenance painting",2
"RR 115","8",1998,"Opus International Consultants Limited","www.nzta.govt.nz/resources/research/reports/115","Lead Based Paint Management on Roading Structures: Section III Guidelines","Lead paint removal","risk assessment","maintenance painting",3
"RR 117","11",1998,"Tonkin & Taylor Limited","www.nzta.govt.nz/resources/research/reports/117","Pavement Deflection Measurement & Interpretation for the Design of Rehabilitation Treatments","Benkelman Beam","design","FWD",4
"RR 124","11",1998,"Bartley Consultants Limited","www.nzta.govt.nz/resources/research/reports/124","Loadman Portable Falling Weight Deflectometer:
Determination of Elastic Moduli of Pavement Materials","Elastic modulus","falling weight deflectometer","FWD",5
"RR 130","5",1999,"Montgomery Watson NZ Limited","www.nzta.govt.nz/resources/research/reports/130","Environmental management for Roading Contractors I. Overview & Case Study","Construction","environment","erosion",6
"RR 131","5",1999,"Montgomery Watson NZ Limited","www.nzta.govt.nz/resources/research/reports/131","Environmental Management for Roading Contractors II. Provisional Guidelines for Erosion & Sediment Management During Road Works","Construction","environment","erosion",7
"RR 134","19",1999,"Riddolls & Grocott","www.nzta.govt.nz/resources/research/reports/134","Risk Assessment Techniques for Optimising Slope-Failure Preventative Maintenance Programmes","Assessment","benefit","cost",8
"RR 150","20",1999,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/150","Verification of Road Roughness by Profile Beam During Construction","Contract","control","instrumentation",9
"RR 163","21",2000,"TERNZ, Canterbury University","www.nzta.govt.nz/resources/research/reports/163","Influences of Vehicle Loading on Pavement Wear","Dynamic wheel loads","loading","pavements",10
"RR 165","1",2000,"Infratech Systems & Services Pty Ltd","www.nzta.govt.nz/resources/research/reports/165","Health Monitoring of Superstructures of New Zealand Road Bridges: Big Wainihinihi Bridge, West Coast","Bridges","bridge dynamics","bridge health",11
